facts_kni,t,expression1,x,ext_kni,t,expression2,x
8224,53.925,0.59,32.5,8224,53.925,7.49,32.5
8225,53.925,0.5,33.5,8225,53.925,6.96,33.5
8226,53.925,0.09,34.5,8226,53.925,4.73,34.5
8227,53.925,0.25,35.5,8227,53.925,4.2,35.5
8228,53.925,0,36.5,8228,53.925,6.12,36.5
8229,53.925,0,37.5,8229,53.925,7.15,37.5
8230,53.925,0,38.5,8230,53.925,6.7,38.5
8231,53.925,0.08,39.5,8231,53.925,6.91,39.5
8232,53.925,0.23,40.5,8232,53.925,5.57,40.5
8233,53.925,0,41.5,8233,53.925,6.08,41.5
8234,53.925,0.19,42.5,8234,53.925,7.77,42.5
8235,53.925,0,43.5,8235,53.925,5.54,43.5
8236,53.925,0.27,44.5,8236,53.925,4.36,44.5
8237,53.925,0.14,45.5,8237,53.925,4.27,45.5
8238,53.925,0.1,46.5,8238,53.925,5.92,46.5
8239,53.925,0.27,47.5,8239,53.925,2.99,47.5
8240,53.925,0.82,48.5,8240,53.925,3.46,48.5
8241,53.925,2.04,49.5,8241,53.925,4.01,49.5
8242,53.925,2.01,50.5,8242,53.925,3.55,50.5
8243,53.925,3.19,51.5,8243,53.925,5.34,51.5
8244,53.925,4.74,52.5,8244,53.925,4.55,52.5
8245,53.925,8.47,53.5,8245,53.925,8.77,53.5
8246,53.925,9.74,54.5,8246,53.925,13.69,54.5
8247,53.925,14.47,55.5,8247,53.925,19.26,55.5
8248,53.925,20.24,56.5,8248,53.925,28.26,56.5
8249,53.925,27.41,57.5,8249,53.925,40.46,57.5
8250,53.925,35.42,58.5,8250,53.925,52.13,58.5
8251,53.925,43.34,59.5,8251,53.925,68.74,59.5
8252,53.925,52.9,60.5,8252,53.925,85.12,60.5
8253,53.925,60.34,61.5,8253,53.925,101.55,61.5
8254,53.925,65.79,62.5,8254,53.925,109.97,62.5
8255,53.925,72.82,63.5,8255,53.925,121.43,63.5
8256,53.925,74.57,64.5,8256,53.925,125.95,64.5
8257,53.925,75.59,65.5,8257,53.925,136.69,65.5
8258,53.925,75.47,66.5,8258,53.925,121.22,66.5
8259,53.925,74.89,67.5,8259,53.925,117.65,67.5
8260,53.925,72.44,68.5,8260,53.925,106.49,68.5
8261,53.925,67.3,69.5,8261,53.925,94.33,69.5
8262,53.925,61.57,70.5,8262,53.925,75.77,70.5
8263,53.925,55.64,71.5,8263,53.925,62.2,71.5
8264,53.925,49.27,72.5,8264,53.925,56.31,72.5
8265,53.925,41.11,73.5,8265,53.925,37.86,73.5
8266,53.925,33.59,74.5,8266,53.925,29.7,74.5
8267,53.925,27.66,75.5,8267,53.925,22.74,75.5
8268,53.925,22.22,76.5,8268,53.925,20.11,76.5
8269,53.925,16.94,77.5,8269,53.925,14.55,77.5
8270,53.925,12.62,78.5,8270,53.925,10.83,78.5
8271,53.925,10.38,79.5,8271,53.925,9.3,79.5
8272,53.925,7.1,80.5,8272,53.925,7.59,80.5
8273,53.925,5.81,81.5,8273,53.925,5.8,81.5
8274,53.925,4.27,82.5,8274,53.925,2.81,82.5
8275,53.925,3.05,83.5,8275,53.925,3.6,83.5
8276,53.925,2.55,84.5,8276,53.925,3.06,84.5
8277,53.925,1.76,85.5,8277,53.925,1.35,85.5
8278,53.925,1.35,86.5,8278,53.925,2.64,86.5
8279,53.925,1.44,87.5,8279,53.925,2.58,87.5
8280,53.925,1.22,88.5,8280,53.925,4.29,88.5
8224,60.175,0.04,32.5,8224,60.175,2.27,32.5
8225,60.175,0.01,33.5,8225,60.175,4.11,33.5
8226,60.175,0,34.5,8226,60.175,0.84,34.5
8227,60.175,0.07,35.5,8227,60.175,2.92,35.5
8228,60.175,0,36.5,8228,60.175,2.92,36.5
8229,60.175,0.08,37.5,8229,60.175,1.76,37.5
8230,60.175,0,38.5,8230,60.175,1.23,38.5
8231,60.175,0.16,39.5,8231,60.175,0.49,39.5
8232,60.175,0.8,40.5,8232,60.175,1.72,40.5
8233,60.175,0.49,41.5,8233,60.175,1.46,41.5
8234,60.175,0.97,42.5,8234,60.175,1.88,42.5
8235,60.175,1.1,43.5,8235,60.175,0.51,43.5
8236,60.175,1.28,44.5,8236,60.175,0,44.5
8237,60.175,1.5,45.5,8237,60.175,0.23,45.5
8238,60.175,1.15,46.5,8238,60.175,1.67,46.5
8239,60.175,1.74,47.5,8239,60.175,0,47.5
8240,60.175,2.31,48.5,8240,60.175,0.95,48.5
8241,60.175,2.45,49.5,8241,60.175,0.7,49.5
8242,60.175,3.4,50.5,8242,60.175,2.71,50.5
8243,60.175,4.53,51.5,8243,60.175,2.41,51.5
8244,60.175,5.91,52.5,8244,60.175,5.45,52.5
8245,60.175,9.42,53.5,8245,60.175,11.99,53.5
8246,60.175,13.7,54.5,8246,60.175,16.59,54.5
8247,60.175,20.55,55.5,8247,60.175,32.34,55.5
8248,60.175,29.56,56.5,8248,60.175,48.6,56.5
8249,60.175,41.41,57.5,8249,60.175,74.59,57.5
8250,60.175,54.07,58.5,8250,60.175,98.37,58.5
8251,60.175,68.82,59.5,8251,60.175,131.45,59.5
8252,60.175,83.7,60.5,8252,60.175,157.25,60.5
8253,60.175,97.76,61.5,8253,60.175,186.57,61.5
8254,60.175,109.54,62.5,8254,60.175,185.67,62.5
8255,60.175,116.13,63.5,8255,60.175,188.92,63.5
8256,60.175,120.8,64.5,8256,60.175,193.46,64.5
8257,60.175,121.37,65.5,8257,60.175,189.98,65.5
8258,60.175,119.05,66.5,8258,60.175,166.27,66.5
8259,60.175,114.27,67.5,8259,60.175,142.15,67.5
8260,60.175,106.43,68.5,8260,60.175,115.26,68.5
8261,60.175,95.84,69.5,8261,60.175,89.44,69.5
8262,60.175,82.02,70.5,8262,60.175,62.15,70.5
8263,60.175,70.77,71.5,8263,60.175,49.11,71.5
8264,60.175,58.57,72.5,8264,60.175,31.81,72.5
8265,60.175,46.43,73.5,8265,60.175,22.02,73.5
8266,60.175,35.76,74.5,8266,60.175,13.08,74.5
8267,60.175,29.18,75.5,8267,60.175,9.26,75.5
8268,60.175,23.03,76.5,8268,60.175,5.29,76.5
8269,60.175,17.19,77.5,8269,60.175,3.32,77.5
8270,60.175,14.27,78.5,8270,60.175,2.41,78.5
8271,60.175,10.5,79.5,8271,60.175,1.3,79.5
8272,60.175,8.81,80.5,8272,60.175,1.55,80.5
8273,60.175,7.22,81.5,8273,60.175,1.69,81.5
8274,60.175,6.12,82.5,8274,60.175,0,82.5
8275,60.175,5.2,83.5,8275,60.175,1.9,83.5
8276,60.175,4.17,84.5,8276,60.175,0.39,84.5
8277,60.175,3.32,85.5,8277,60.175,1.37,85.5
8278,60.175,3.02,86.5,8278,60.175,1.65,86.5
8279,60.175,2.76,87.5,8279,60.175,4.27,87.5
8280,60.175,1.97,88.5,8280,60.175,4.36,88.5
8224,66.425,0.4,32.5,8224,66.425,7.17,32.5
8225,66.425,0.26,33.5,8225,66.425,7.45,33.5
8226,66.425,0,34.5,8226,66.425,5.27,34.5
8227,66.425,0,35.5,8227,66.425,7.56,35.5
8228,66.425,0,36.5,8228,66.425,4.34,36.5
8229,66.425,0,37.5,8229,66.425,6.87,37.5
8230,66.425,0,38.5,8230,66.425,9.6,38.5
8231,66.425,0,39.5,8231,66.425,8.12,39.5
8232,66.425,0,40.5,8232,66.425,8.26,40.5
8233,66.425,0,41.5,8233,66.425,6.87,41.5
8234,66.425,0,42.5,8234,66.425,6.7,42.5
8235,66.425,0,43.5,8235,66.425,7.15,43.5
8236,66.425,0,44.5,8236,66.425,7.15,44.5
8237,66.425,0,45.5,8237,66.425,6.01,45.5
8238,66.425,0,46.5,8238,66.425,5.38,46.5
8239,66.425,0,47.5,8239,66.425,6.57,47.5
8240,66.425,0,48.5,8240,66.425,4.76,48.5
8241,66.425,0.41,49.5,8241,66.425,5.34,49.5
8242,66.425,1.57,50.5,8242,66.425,5.75,50.5
8243,66.425,3.16,51.5,8243,66.425,7.1,51.5
8244,66.425,5.27,52.5,8244,66.425,4.57,52.5
8245,66.425,8.68,53.5,8245,66.425,10.16,53.5
8246,66.425,14.8,54.5,8246,66.425,16.96,54.5
8247,66.425,24.28,55.5,8247,66.425,31.13,55.5
8248,66.425,37.82,56.5,8248,66.425,47.42,56.5
8249,66.425,53.63,57.5,8249,66.425,67.93,57.5
8250,66.425,74.13,58.5,8250,66.425,96.26,58.5
8251,66.425,95.89,59.5,8251,66.425,128.88,59.5
8252,66.425,117.02,60.5,8252,66.425,164.79,60.5
8253,66.425,136.13,61.5,8253,66.425,193.42,61.5
8254,66.425,149.68,62.5,8254,66.425,191.82,62.5
8255,66.425,157.06,63.5,8255,66.425,202.19,63.5
8256,66.425,159.2,64.5,8256,66.425,207.87,64.5
8257,66.425,156.38,65.5,8257,66.425,191.08,65.5
8258,66.425,149.96,66.5,8258,66.425,166.44,66.5
8259,66.425,136.46,67.5,8259,66.425,134.88,67.5
8260,66.425,118.34,68.5,8260,66.425,107.76,68.5
8261,66.425,99.36,69.5,8261,66.425,80.34,69.5
8262,66.425,81.61,70.5,8262,66.425,55.75,70.5
8263,66.425,62.85,71.5,8263,66.425,35.59,71.5
8264,66.425,48.55,72.5,8264,66.425,26.19,72.5
8265,66.425,37.76,73.5,8265,66.425,19.49,73.5
8266,66.425,29.01,74.5,8266,66.425,11.23,74.5
8267,66.425,21.74,75.5,8267,66.425,9.05,75.5
8268,66.425,16.24,76.5,8268,66.425,6.43,76.5
8269,66.425,11.82,77.5,8269,66.425,7.01,77.5
8270,66.425,9.01,78.5,8270,66.425,6.64,78.5
8271,66.425,6.69,79.5,8271,66.425,4.57,79.5
8272,66.425,5.4,80.5,8272,66.425,4.2,80.5
8273,66.425,4.44,81.5,8273,66.425,4.92,81.5
8274,66.425,3.8,82.5,8274,66.425,4.94,82.5
8275,66.425,3.08,83.5,8275,66.425,6.52,83.5
8276,66.425,2.46,84.5,8276,66.425,4.62,84.5
8277,66.425,2.06,85.5,8277,66.425,4.59,85.5
8278,66.425,1.63,86.5,8278,66.425,5.24,86.5
8279,66.425,1.6,87.5,8279,66.425,6.8,87.5
8280,66.425,1.44,88.5,8280,66.425,5.31,88.5
8224,72.675,0.38,32.5,8224,72.675,6.29,32.5
8225,72.675,0.16,33.5,8225,72.675,4.41,33.5
8226,72.675,0,34.5,8226,72.675,6.12,34.5
8227,72.675,0,35.5,8227,72.675,7.15,35.5
8228,72.675,0,36.5,8228,72.675,6.84,36.5
8229,72.675,0,37.5,8229,72.675,10.28,37.5
8230,72.675,0,38.5,8230,72.675,8.7,38.5
8231,72.675,0.26,39.5,8231,72.675,11.04,39.5
8232,72.675,0.44,40.5,8232,72.675,11.14,40.5
8233,72.675,1.55,41.5,8233,72.675,10.46,41.5
8234,72.675,1.38,42.5,8234,72.675,6.45,42.5
8235,72.675,1.16,43.5,8235,72.675,5.24,43.5
8236,72.675,1.54,44.5,8236,72.675,7.4,44.5
