n,s
1,1
2,2
3,2
4,2
5,2.707106781
6,3
7,3
8,3
9,3
10,3.707106781
11,3.877
12,4
13,4
14,4
15,4
16,4
17,4.675
18,4.822
19,4.885618083
20,5
21,5
22,5
23,5
24,5
25,5
26,5.621320344
27,5.707106781
28,5.828427125
29,5.934
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6.598
38,6.707106781
39,6.818
40,6.828427125
41,6.937
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7.598
51,7.704
52,7.707106781
53,7.823
54,7.846
55,7.954
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8.535533906
66,8.656854249
67,8.707106781
68,8.822875656
69,8.828
70,8.881
71,8.96
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,9
81,9
82,9.535533906
83,9.656854249
84,9.707106781
85,9.742640687
86,9.822875656
87,9.851
88,9.901
89,9.949747468
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
